Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:PIACENZA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,2.761969E+04,1.211881E+03,1.425387E+00,9.349770E-02,1.343991E+03,8.398193E+03,6.936902E-02,6.480941E-01,2.890520E+04,1.422312E+04,1.491730E+00,1.097488E+00,8.600248E+02,1.148510E+04,4.438947E-02,8.863271E-01,4.551282E+04,1.595539E+04,2.348267E+00,1.231348E+00,4.118227E+03,1.182220E+04,2.125062E-01,9.125946E-01
00:30:00,2.761971E+04,1.332492E+03,1.425389E+00,1.028025E-01,1.343994E+03,8.406593E+03,6.936914E-02,6.487231E-01,2.890529E+04,1.416999E+04,1.491735E+00,1.093375E+00,8.600327E+02,1.147196E+04,4.438988E-02,8.852980E-01,4.551299E+04,1.579554E+04,2.348276E+00,1.219014E+00,4.118259E+03,1.178676E+04,2.125078E-01,9.098578E-01
00:45:00,2.761973E+04,1.353363E+03,1.425390E+00,1.044131E-01,1.343996E+03,8.409778E+03,6.936925E-02,6.489516E-01,2.890538E+04,1.410861E+04,1.491739E+00,1.088626E+00,8.600405E+02,1.145875E+04,4.439028E-02,8.842624E-01,4.551316E+04,1.562634E+04,2.348285E+00,1.205954E+00,4.118289E+03,1.175190E+04,2.125094E-01,9.071537E-01
01:00:00,2.761975E+04,1.321385E+03,1.425391E+00,1.019461E-01,1.343998E+03,8.409591E+03,6.936934E-02,6.489141E-01,2.890547E+04,1.404403E+04,1.491744E+00,1.083632E+00,8.600481E+02,1.144663E+04,4.439068E-02,8.832933E-01,4.551332E+04,1.545523E+04,2.348293E+00,1.192744E+00,4.118317E+03,1.171868E+04,2.125108E-01,9.045554E-01
01:15:00,2.761978E+04,1.279440E+03,1.425392E+00,9.870995E-02,1.344000E+03,8.424782E+03,6.936944E-02,6.500536E-01,2.890557E+04,1.398234E+04,1.491749E+00,1.078862E+00,8.600561E+02,1.145123E+04,4.439109E-02,8.835942E-01,4.551349E+04,1.529135E+04,2.348302E+00,1.180091E+00,4.118344E+03,1.170179E+04,2.125122E-01,9.031976E-01
01:30:00,2.761981E+04,1.230685E+03,1.425393E+00,9.494839E-02,1.344002E+03,8.438596E+03,6.936954E-02,6.510801E-01,2.890567E+04,1.392298E+04,1.491754E+00,1.074273E+00,8.600639E+02,1.145627E+04,4.439150E-02,8.839169E-01,4.551365E+04,1.513654E+04,2.348310E+00,1.168139E+00,4.118370E+03,1.168574E+04,2.125136E-01,9.018937E-01
01:45:00,2.761983E+04,1.178143E+03,1.425395E+00,9.089459E-02,1.344003E+03,8.449705E+03,6.936962E-02,6.519055E-01,2.890576E+04,1.386633E+04,1.491759E+00,1.069894E+00,8.600717E+02,1.146044E+04,4.439189E-02,8.841870E-01,4.551380E+04,1.498745E+04,2.348318E+00,1.156628E+00,4.118395E+03,1.166976E+04,2.125148E-01,9.006113E-01
02:00:00,2.761986E+04,1.124351E+03,1.425396E+00,8.674439E-02,1.344005E+03,8.458408E+03,6.936970E-02,6.525589E-01,2.890585E+04,1.381300E+04,1.491764E+00,1.065773E+00,8.600792E+02,1.146376E+04,4.439228E-02,8.844159E-01,4.551395E+04,1.484051E+04,2.348325E+00,1.145284E+00,4.118419E+03,1.165408E+04,2.125161E-01,8.993767E-01
02:15:00,2.761988E+04,1.067857E+03,1.425397E+00,8.238575E-02,1.344006E+03,8.465223E+03,6.936978E-02,6.530771E-01,2.890594E+04,1.376040E+04,1.491768E+00,1.061710E+00,8.600866E+02,1.146650E+04,4.439267E-02,8.846179E-01,4.551409E+04,1.468907E+04,2.348333E+00,1.133592E+00,4.118441E+03,1.163857E+04,2.125172E-01,8.981722E-01
02:30:00,2.761990E+04,1.009748E+03,1.425398E+00,7.790249E-02,1.344007E+03,8.470596E+03,6.936985E-02,6.534892E-01,2.890603E+04,1.370866E+04,1.491773E+00,1.057715E+00,8.600939E+02,1.146886E+04,4.439304E-02,8.847980E-01,4.551423E+04,1.453129E+04,2.348340E+00,1.121409E+00,4.118463E+03,1.162351E+04,2.125183E-01,8.970108E-01
02:45:00,2.761992E+04,9.510140E+02,1.425399E+00,7.337098E-02,1.344009E+03,8.474852E+03,6.936991E-02,6.538169E-01,2.890611E+04,1.365798E+04,1.491777E+00,1.053803E+00,8.601011E+02,1.147091E+04,4.439341E-02,8.849565E-01,4.551436E+04,1.437124E+04,2.348346E+00,1.109050E+00,4.118484E+03,1.160913E+04,2.125194E-01,8.959024E-01
03:00:00,2.761994E+04,8.924865E+02,1.425401E+00,6.885547E-02,1.344010E+03,8.478227E+03,6.936998E-02,6.540769E-01,2.890619E+04,1.360861E+04,1.491781E+00,1.049992E+00,8.601081E+02,1.147270E+04,4.439378E-02,8.850938E-01,4.551448E+04,1.421299E+04,2.348353E+00,1.096832E+00,4.118504E+03,1.159560E+04,2.125204E-01,8.948605E-01
03:15:00,2.761996E+04,8.314236E+02,1.425402E+00,6.414435E-02,1.344011E+03,8.480898E+03,6.937004E-02,6.542826E-01,2.890627E+04,1.355756E+04,1.491785E+00,1.046052E+00,8.601150E+02,1.147423E+04,4.439413E-02,8.852114E-01,4.551460E+04,1.405205E+04,2.348359E+00,1.084407E+00,4.118523E+03,1.158270E+04,2.125214E-01,8.938681E-01
03:30:00,2.761998E+04,7.679434E+02,1.425403E+00,5.924674E-02,1.344012E+03,8.483001E+03,6.937010E-02,6.544446E-01,2.890635E+04,1.350472E+04,1.491789E+00,1.041974E+00,8.601217E+02,1.147552E+04,4.439448E-02,8.853108E-01,4.551472E+04,1.388916E+04,2.348365E+00,1.071833E+00,4.118541E+03,1.157030E+04,2.125224E-01,8.929156E-01
03:45:00,2.762000E+04,7.023308E+02,1.425403E+00,5.418464E-02,1.344013E+03,8.484645E+03,6.937015E-02,6.545713E-01,2.890642E+04,1.345010E+04,1.491793E+00,1.037759E+00,8.601284E+02,1.147660E+04,4.439482E-02,8.853936E-01,4.551483E+04,1.372487E+04,2.348371E+00,1.059151E+00,4.118559E+03,1.155818E+04,2.125233E-01,8.919859E-01
04:00:00,2.762002E+04,6.348788E+02,1.425404E+00,4.898064E-02,1.344015E+03,8.485915E+03,6.937021E-02,6.546693E-01,2.890649E+04,1.339379E+04,1.491797E+00,1.033414E+00,8.601348E+02,1.147747E+04,4.439516E-02,8.854606E-01,4.551494E+04,1.355919E+04,2.348377E+00,1.046363E+00,4.118576E+03,1.154632E+04,2.125242E-01,8.910741E-01
04:15:00,2.762004E+04,5.692949E+02,1.425405E+00,4.392079E-02,1.344016E+03,8.486877E+03,6.937026E-02,6.547434E-01,2.890656E+04,1.333910E+04,1.491800E+00,1.029194E+00,8.601412E+02,1.147814E+04,4.439548E-02,8.855124E-01,4.551505E+04,1.339818E+04,2.348382E+00,1.033935E+00,4.118593E+03,1.153456E+04,2.125250E-01,8.901699E-01
04:30:00,2.762005E+04,5.062311E+02,1.425406E+00,3.905537E-02,1.344017E+03,8.487585E+03,6.937032E-02,6.547981E-01,2.890663E+04,1.328648E+04,1.491804E+00,1.025133E+00,8.601474E+02,1.147862E+04,4.439581E-02,8.855496E-01,4.551515E+04,1.324221E+04,2.348387E+00,1.021897E+00,4.118609E+03,1.152227E+04,2.125259E-01,8.892208E-01
04:45:00,2.762007E+04,4.460588E+02,1.425407E+00,3.441305E-02,1.344018E+03,8.488086E+03,6.937037E-02,6.548367E-01,2.890669E+04,1.323621E+04,1.491807E+00,1.021255E+00,8.601535E+02,1.147892E+04,4.439612E-02,8.855730E-01,4.551525E+04,1.309163E+04,2.348392E+00,1.010274E+00,4.118624E+03,1.150942E+04,2.125267E-01,8.882259E-01
05:00:00,2.762008E+04,3.890350E+02,1.425408E+00,3.001366E-02,1.344019E+03,8.488420E+03,6.937042E-02,6.548625E-01,2.890676E+04,1.318849E+04,1.491810E+00,1.017573E+00,8.601595E+02,1.147906E+04,4.439643E-02,8.855833E-01,4.551534E+04,1.294712E+04,2.348397E+00,9.991196E-01,4.118639E+03,1.149575E+04,2.125274E-01,8.871661E-01
05:15:00,2.762010E+04,3.457577E+02,1.425408E+00,2.667481E-02,1.344020E+03,8.488621E+03,6.937047E-02,6.548779E-01,2.890682E+04,1.315302E+04,1.491813E+00,1.014836E+00,8.601654E+02,1.147903E+04,4.439673E-02,8.855812E-01,4.551543E+04,1.282658E+04,2.348402E+00,9.898156E-01,4.118654E+03,1.148315E+04,2.125282E-01,8.861877E-01
